#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Jul 17 11:43:23 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FPGA_DUPS_map.ncd
#OUTPUT FILE:      FPGA_DUPS_pad.csv
#PART TYPE:        xc3s1400a
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
D5,O_TP_53,IOB,IO_L20N_0/PUDC_B,OUTPUT,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
D6,,,VCCAUX,,,,,,,,2.5,,,,
D7,,DIFFMTB,IO_L16P_0,UNUSED,,0,,,,,,,,,
D8,,DIFFSTB,IO_L11N_0/GCLK9,UNUSED,,0,,,,,,,,,
D9,,DIFFSTB,IO_L09N_0/GCLK5,UNUSED,,0,,,,,,,,,
D10,,DIFFSTB,IO_L06N_0/VREF_0,UNUSED,,0,,,,,,,,,
D11,,DIFFMTB,IO_L06P_0,UNUSED,,0,,,,,,,,,
D12,O_N_LED7,IOB,IO_L03N_0,OUTPUT,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
D13,O_N_LED6,IOB,IO_L01P_0,OUTPUT,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
D14,HW_VERS_BD<4>,IBUF,IO_L23N_1/A23,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
D15,HW_VERS_BD<2>,IBUF,IO_L22N_1/A21,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
D16,HW_VERS_BD<3>,IBUF,IO_L22P_1/A20,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
E1,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,
E2,,DIFFSLR,IO_L05N_3,UNUSED,,3,,,,,,,,,
E3,,DIFFMLR,IO_L05P_3,UNUSED,,3,,,,,,,,,
E4,,DIFFMLR,IO_L04P_3,UNUSED,,3,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E7,,DIFFSTB,IO_L14N_0/VREF_0,UNUSED,,0,,,,,,,,,
E8,,,VCCO_0,,,0,,,,,3.30,,,,
E9,,DIFFMTB,IO_L14P_0,UNUSED,,0,,,,,,,,,
E10,,,GND,,,,,,,,,,,,
E11,,,VCCAUX,,,,,,,,2.5,,,,
E12,,,GND,,,,,,,,,,,,
E13,HW_VERS_BD<5>,IBUF,IO_L23P_1/A22,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
E14,HW_VERS_BD<1>,IBUF,IO_L20P_1/A18,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
E15,,,VCCO_1,,,1,,,,,3.30,,,,
E16,,DIFFMLR,IO_L18P_1/A14,UNUSED,,1,,,,,,,,,
F1,,DIFFMLR,IO_L08P_3,UNUSED,,3,,,,,,,,,
F2,,,GND,,,,,,,,,,,,
F3,,DIFFMLR,IO_L07P_3,UNUSED,,3,,,,,,,,,
F4,,DIFFSLR,IO_L04N_3,UNUSED,,3,,,,,,,,,
F5,,,VCCAUX,,,,,,,,2.5,,,,
F6,,,GND,,,,,,,,,,,,
F7,,,GND,,,,,,,,,,,,
F8,,,GND,,,,,,,,,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCINT,,,,,,,,1.2,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,2.5,,,,
F13,HW_VERS_BD<0>,IBUF,IO_L20N_1/A19,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
F14,,DIFFSLR,IO_L19N_1/A17,UNUSED,,1,,,,,,,,,
F15,,DIFFSLR,IO_L18N_1/A15,UNUSED,,1,,,,,,,,,
F16,,DIFFSLR,IO_L16N_1/A11,UNUSED,,1,,,,,,,,,
G1,,DIFFSLR,IO_L08N_3/VREF_3,UNUSED,,3,,,,,,,,,
G2,I_SPI_N_CS,IBUF,IO_L11P_3/LHCLK0,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
G3,,DIFFSLR,IO_L07N_3,UNUSED,,3,,,,,,,,,
G4,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,,,GND,,,,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.2,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCINT,,,,,,,,1.2,,,,
G12,,,GND,,,,,,,,,,,,
G13,,DIFFMLR,IO_L19P_1/A16,UNUSED,,1,,,,,,,,,
G14,,DIFFSLR,IO_L17N_1/A13,UNUSED,,1,,,,,,,,,
G15,,,GND,,,,,,,,,,,,
G16,,DIFFMLR,IO_L16P_1/A10,UNUSED,,1,,,,,,,,,
H1,I_SPI_CLK,IBUF,IO_L11N_3/LHCLK1,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
H2,,,VCCO_3,,,3,,,,,3.30,,,,
H3,,DIFFMLR,IO_L12P_3/LHCLK2,UNUSED,,3,,,,,,,,,
H4,,,VCCAUX,,,,,,,,2.5,,,,
H5,,,GND,,,,,,,,,,,,
H6,,,VCCINT,,,,,,,,1.2,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.2,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,VCCINT,,,,,,,,1.2,,,,
H11,,,GND,,,,,,,,,,,,
H12,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
H13,,DIFFMLR,IO_L17P_1/A12,UNUSED,,1,,,,,,,,,
H14,,,VCCAUX,,,,,,,,2.5,,,,
H15,,DIFFMLR,IO_L15P_1/IRDY1/RHCLK6,UNUSED,,1,,,,,,,,,
H16,,DIFFSLR,IO_L15N_1/RHCLK7,UNUSED,,1,,,,,,,,,
J1,,DIFFSLR,IO_L14N_3/LHCLK5,UNUSED,,3,,,,,,,,,
J2,,DIFFMLR,IO_L14P_3/LHCLK4,UNUSED,,3,,,,,,,,,
J3,,DIFFSLR,IO_L12N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
J4,,DIFFMI_NDT,IP_3,UNUSED,,3,,,,,,,,,
J5,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.2,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.2,,,,
J10,,,GND,,,,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.2,,,,
J12,,DIFFMLR,IO_L10P_1/A8,UNUSED,,1,,,,,,,,,
J13,FQUAD,IOB,IO_L10N_1/A9,OUTPUT,LVCMOS33,1,12,FAST,NONE**,,,LOCATED,NO,NONE,
J14,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
J15,,,VCCO_1,,,1,,,,,3.30,,,,
J16,,DIFFSLR,IO_L12N_1/TRDY1/RHCLK3,UNUSED,,1,,,,,,,,,
K1,,DIFFSLR,IO_L15N_3/LHCLK7,UNUSED,,3,,,,,,,,,
K2,,,GND,,,,,,,,,,,,
K3,,DIFFMLR,IO_L15P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
K4,,DIFFMLR,IO_L18P_3,UNUSED,,3,,,,,,,,,
K5,,,GND,,,,,,,,,,,,
K6,,,VCCINT,,,,,,,,1.2,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.2,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCINT,,,,,,,,1.2,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,GND,,,,,,,,,,,,
K13,,DIFFSLR,IO_L06N_1/A3,UNUSED,,1,,,,,,,,,
K14,,DIFFSLR,IO_L11N_1/RHCLK1,UNUSED,,1,,,,,,,,,
K15,I_CLK_25MHZ,IBUF,IO_L11P_1/RHCLK0,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
K16,,DIFFMLR,IO_L12P_1/RHCLK2,UNUSED,,1,,,,,,,,,
L1,,DIFFMLR,IO_L16P_3/VREF_3,UNUSED,,3,,,,,,,,,
L2,,DIFFSLR,IO_L16N_3,UNUSED,,3,,,,,,,,,
L3,,DIFFSLR,IO_L18N_3,UNUSED,,3,,,,,,,,,
L4,,DIFFSLR,IO_L19N_3,UNUSED,,3,,,,,,,,,
L5,,,VCCAUX,,,,,,,,2.5,,,,
L6,,,GND,,,,,,,,,,,,
L7,,,VCCINT,,,,,,,,1.2,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,VCCINT,,,,,,,,1.2,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCAUX,,,,,,,,2.5,,,,
L13,,DIFFMLR,IO_L06P_1/A2,UNUSED,,1,,,,,,,,,
L14,,DIFFMLR,IO_L08P_1/A6,UNUSED,,1,,,,,,,,,
L15,,,GND,,,,,,,,,,,,
L16,,DIFFSLR,IO_L08N_1/A7,UNUSED,,1,,,,,,,,,
M1,,DIFFMLR,IO_L20P_3,UNUSED,,3,,,,,,,,,
M2,,,VCCO_3,,,3,,,,,3.30,,,,
M3,,DIFFMLR,IO_L19P_3,UNUSED,,3,,,,,,,,,
M4,I_SPI_MOSI,IBUF,IO_L24N_3,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
M5,,,GND,,,,,,,,,,,,
M6,,,VCCAUX,,,,,,,,2.5,,,,
M7,OL_POWER,IBUF,IP_2/VREF_2,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
M8,,,GND,,,,,,,,,,,,
M9,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
M10,,,VCCAUX,,,,,,,,2.5,,,,
M11,GPI_OL_TEMP,IBUF,IP_2/VREF_2,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
M12,,,GND,,,,,,,,,,,,
M13,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
M14,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
M15,,DIFFMLR,IO_L07P_1/A4,UNUSED,,1,,,,,,,,,
M16,,DIFFSLR,IO_L07N_1/A5,UNUSED,,1,,,,,,,,,
N1,,DIFFSLR,IO_L20N_3,UNUSED,,3,,,,,,,,,
N2,,DIFFMLR,IO_L22P_3/VREF_3,UNUSED,,3,,,,,,,,,
N3,,DIFFMLR,IO_L24P_3,UNUSED,,3,,,,,,,,,
N4,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
N5,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
N6,,DIFFMTB,IO_L04P_2/VS1,UNUSED,,2,,,,,,,,,
N7,,,GND,,,,,,,,,,,,
N8,,DIFFSTB,IO_L08N_2/D4,UNUSED,,2,,,,,,,,,
N9,,DIFFMTB,IO_L11P_2/GCLK0,UNUSED,,2,,,,,,,,,
N10,,,GND,,,,,,,,,,,,
N11,,DIFFSTB,IO_L16N_2,UNUSED,,2,,,,,,,,,
N12,GPO_OL_RESET,IOB,IO_L19P_2,OUTPUT,LVCMOS33,2,12,FAST,NONE**,,,LOCATED,NO,NONE,
N13,PWMB,IOB,IO_L01P_1/HDC,OUTPUT,LVCMOS33,1,12,FAST,NONE**,,,LOCATED,NO,NONE,
N14,,DIFFSLR,IO_L01N_1/LDC2,UNUSED,,1,,,,,,,,,
N15,,,VCCO_1,,,1,,,,,3.30,,,,
N16,FMOT,IOB,IO_L03N_1/A1,OUTPUT,LVCMOS33,1,12,FAST,NONE**,,,LOCATED,NO,NONE,
P1,,DIFFSLR,IO_L22N_3,UNUSED,,3,,,,,,,,,
P2,,DIFFSLR,IO_L23N_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
P5,,DIFFSTB,IO_L04N_2/VS0,UNUSED,,2,,,,,,,,,
P6,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P7,,DIFFMTB,IO_L08P_2/D5,UNUSED,,2,,,,,,,,,
P8,,DIFFMTB,IO_L10P_2/GCLK14,UNUSED,,2,,,,,,,,,
P9,,DIFFSTB,IO_L11N_2/GCLK1,UNUSED,,2,,,,,,,,,
P10,OL_CURRENT,IBUF,IO_L14N_2/MOSI/CSI_B,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P11,,DIFFMTB,IO_L16P_2,UNUSED,,2,,,,,,,,,
P12,OL_VOLTAGE,IBUF,IO_L17N_2/D3,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P13,GPO_DDS_STOP,IOB,IO_L19N_2,OUTPUT,LVCMOS33,2,12,FAST,NONE**,,,LOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,PWMA,IOB,IO_L02N_1/LDC0,OUTPUT,LVCMOS33,1,12,FAST,NONE**,,,LOCATED,NO,NONE,
P16,,DIFFMLR,IO_L03P_1/A0,UNUSED,,1,,,,,,,,,
R1,O_SPI_MISO,IOB,IO_L23P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,NO,NONE,
R2,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
R3,,DIFFMTB,IO_L03P_2/RDWR_B,UNUSED,,2,,,,,,,,,
R4,,,VCCO_2,,,2,,,,,3.30,,,,
R5,I_PHASE_SIGN,IBUF,IO_L05N_2,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
R6,,,GND,,,,,,,,,,,,
R7,,DIFFMTB,IO_L09P_2/GCLK12,UNUSED,,2,,,,,,,,,
R8,,,VCCO_2,,,2,,,,,3.30,,,,
R9,I_N_RESET,IBUF,IO_L12P_2/GCLK2,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
R10,,,GND,,,,,,,,,,,,
R11,,DIFFSTB,IO_L15N_2/DOUT,UNUSED,,2,,,,,,,,,
R12,,,VCCO_2,,,2,,,,,3.30,,,,
R13,,DIFFSTB,IO_L18N_2/D1,UNUSED,,2,,,,,,,,,
R14,,DIFFSTB,IO_L20N_2/CCLK,UNUSED,,2,,,,,,,,,
R15,,DIFFMLR,IO_L02P_1/LDC1,UNUSED,,1,,,,,,,,,
R16,,,SUSPEND,,,,,,,,,,,,
T1,,,GND,,,,,,,,,,,,
T2,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
T3,,DIFFSTB,IO_L03N_2/VS2,UNUSED,,2,,,,,,,,,
T4,,DIFFMTB,IO_L05P_2,UNUSED,,2,,,,,,,,,
T5,,DIFFMTB,IO_L06P_2/D7,UNUSED,,2,,,,,,,,,
T6,,DIFFSTB,IO_L06N_2/D6,UNUSED,,2,,,,,,,,,
T7,,DIFFSTB,IO_L09N_2/GCLK13,UNUSED,,2,,,,,,,,,
T8,,DIFFSTB,IO_L10N_2/GCLK15,UNUSED,,2,,,,,,,,,
T9,I_N_RESET_UP_OUT,IBUF,IO_L12N_2/GCLK3,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
T10,,DIFFMTB,IO_L14P_2,UNUSED,,2,,,,,,,,,
T11,OVL_FUNCTION,IBUF,IO_L15P_2/AWAKE,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
T12,,DIFFMTB,IO_L17P_2/INIT_B,UNUSED,,2,,,,,,,,,
T13,,DIFFMTB,IO_L18P_2/D2,UNUSED,,2,,,,,,,,,
T14,,DIFFMTB,IO_L20P_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
T15,,,DONE,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
